month,eligible_before_microcap_filter,eligible_after_microcap_filter,eligible_for_six_portfolios,microcap_cutoff,size_break,ep_30,ep_70,n_SG,n_SM,n_SV,n_BG,n_BM,n_BV
2000-01-31,868,607,605,1519870169.0699997,2691000000.0,0.006962706454360332,0.01604684739185015,104,127,72,78,114,110
2000-02-29,880,616,614,1691296696.7099998,3126958205.0,0.00584629835076553,0.014723539010472192,99,129,79,85,117,105
2000-03-31,885,619,617,1900424038.9119997,3463057836.0000005,0.005286712255467026,0.014156294713310466,95,126,88,90,121,97
2000-04-30,893,625,623,2098833276.0,3749760000.0,0.006788085929020487,0.019662645912405092,98,128,86,89,121,101
2000-05-31,901,630,628,2141800960.0,3783049249.65,0.01089797807376027,0.023384730090737407,103,133,78,86,117,111
2000-06-30,903,632,630,2243430427.2,3905175000.0,0.01039587294530826,0.0224235999025128,99,136,80,90,116,109
2000-07-31,912,638,636,2301598419.7949996,3985182365.755,0.010452600609327843,0.022011480547074316,102,146,70,89,108,121
2000-08-31,917,642,640,2406847052.8320003,4166123865.0,0.008184744227817552,0.018486521024359978,107,140,73,85,116,119
2000-09-30,922,645,643,2460028224.258,4052198039.9999995,0.003958642206209642,0.009909552699086136,114,137,71,79,120,122
2000-10-31,928,649,647,2436412533.9999995,3898066549.5,0.004156306126199649,0.010278907162300182,116,137,71,78,122,123
2000-11-30,935,654,652,2515875012.0,3994751705.375,0.004069421710350108,0.01018160082835986,118,137,71,78,123,125
2000-12-31,944,661,659,2652789688.6480002,4303082800.0,0.003924586759011032,0.009433621876019605,116,140,74,82,123,124
2001-01-31,964,675,673,2679958506.549999,4379131900.000001,0.003976684052258295,0.009078745812627508,119,140,78,83,129,124
2001-02-28,982,687,685,2674743727.875,4372447200.0,0.0041662538623205535,0.009418631691916955,126,146,71,80,127,135
2001-03-31,992,694,692,2450505311.3100004,4105473819.4799995,0.0048900332934351184,0.01219639856706439,128,143,75,80,133,133
2001-04-30,1000,700,698,2691224046.675,4416518027.62,0.006712212259248302,0.01695207218426454,127,152,70,83,126,140
2001-05-31,1008,705,703,2681480187.0,4386962892.8,0.008955736386930754,0.0190714182567895,125,157,70,86,124,141
2001-06-30,1004,703,701,2894290192.832,4579808824.12,0.00832879268894885,0.01871818016120797,119,159,73,92,120,138
2001-07-31,1023,716,714,2917976912.64,4598921412.0,0.00846696127007637,0.018363957396213784,121,160,76,93,126,138
2001-08-31,1052,736,734,2532717707.52,3929703500.0,0.007971776123802335,0.019017398993169163,136,150,81,84,144,139
2001-09-30,1062,743,741,2438052375.276,3818045266.0,0.0038959990480971997,0.01149827477921843,144,145,82,79,150,141
2001-10-31,1075,752,750,2280144476.1600003,3630861564.1499996,0.004201392840075086,0.01183820594079869,145,154,76,80,146,149
2001-11-30,1079,755,753,2130681842.3999999,3403595124.410001,0.004415669800508749,0.01273645016754528,146,150,81,80,151,145
2001-12-31,1083,758,756,2273701653.356,3566713700.0,0.004350067324277169,0.012112290986280128,147,149,82,80,153,145
