month,eligible_before_microcap_filter,eligible_after_microcap_filter,eligible_for_six_portfolios,microcap_cutoff,size_break,bm_for_ff3_30,bm_for_ff3_70,n_SL,n_SM,n_SH,n_BL,n_BM,n_BH
2000-01-31,868,607,604,1519870169.0699997,2693852441.92,0.17719145502916797,0.3173626036141675,73,134,95,108,108,86
2000-02-29,880,616,613,1691296696.7099998,3129000000.0,0.15289184214141513,0.2754827998326827,67,138,102,117,107,82
2000-03-31,885,619,616,1900424038.9119997,3463368918.0,0.134612186982141,0.24956860686843238,63,144,101,122,102,84
2000-04-30,893,625,622,2098833276.0,3752037246.13,0.12725616741151058,0.2323500614375818,74,144,93,113,104,94
2000-05-31,901,630,626,2141800960.0,3787647033.075,0.12760327950952677,0.2379947362000657,77,136,100,111,114,88
2000-06-30,903,632,628,2243430427.2,3908097616.5299997,0.12210668521462933,0.22922633384210062,78,141,95,111,109,94
2000-07-31,912,638,634,2301598419.7949996,3992875000.0,0.12356855832454224,0.21787557585253572,86,136,95,104,118,95
2000-08-31,917,642,638,2406847052.8320003,4172078981.6400003,0.12448002779386882,0.21624539530136064,88,139,92,104,115,100
2000-09-30,922,645,642,2460028224.258,4063699020.0,0.1335705285269832,0.22980008933946988,92,136,93,101,120,100
2000-10-31,928,649,646,2436412533.9999995,3899783274.75,0.14101385183544374,0.24256959376254256,91,134,98,103,124,96
2000-11-30,935,654,651,2515875012.0,3998800000.0,0.13728934174600493,0.23489306838390964,96,133,97,100,126,99
2000-12-31,944,661,658,2652789688.6480002,4306891685.0,0.13139808144744228,0.220453598627171,96,139,94,102,123,104
2001-01-31,964,675,672,2679958506.549999,4378800438.84,0.12478089947165649,0.21594326607817307,97,145,94,105,123,108
2001-02-28,982,687,684,2674743727.875,4373681568.0,0.1311761409771874,0.21693302982999,101,145,96,104,129,109
2001-03-31,992,694,691,2450505311.3100004,4110128138.9599996,0.1420892604667713,0.23237107694062134,104,145,97,104,130,111
2001-04-30,1000,700,697,2691224046.675,4418873555.24,0.13755557494184156,0.22562433895762085,107,148,94,102,131,115
2001-05-31,1008,705,702,2681480187.0,4387434130.184999,0.13849322057762165,0.2316974877711349,107,143,101,104,137,110
2001-06-30,1004,703,701,2894290192.832,4579808824.12,0.13474629793296025,0.22677547507053478,101,151,99,110,128,112
2001-07-31,1023,716,714,2917976912.64,4598921412.0,0.13768552495045422,0.22107409066374506,104,154,99,110,132,115
2001-08-31,1052,736,734,2532717707.52,3929703500.0,0.16257912966301377,0.26083889764668616,103,159,105,117,135,115
2001-09-30,1062,743,741,2438052375.276,3818045266.0,0.17665601107142856,0.28304012802444845,108,157,106,115,138,117
2001-10-31,1075,752,750,2280144476.1600003,3630861564.1499996,0.18122046083118418,0.29722778738538763,111,155,109,114,145,116
2001-11-30,1079,755,753,2130681842.3999999,3403595124.410001,0.19256393393328183,0.3183535743469246,115,155,107,111,146,119
2001-12-31,1083,758,756,2273701653.356,3566713700.0,0.18752869839742725,0.30002954613036276,112,160,106,115,142,121
2002-01-31,1092,764,763,2104402681.6000001,3304826900.0,0.20081502584197936,0.3228412915798207,115,156,111,114,149,118
2002-02-28,1094,766,765,1793471750.06,2971398090.0,0.22526983206136633,0.3592626574206228,106,154,123,124,151,107
2002-03-31,1099,769,768,1853453535.9999998,3069813150.0,0.21522634276401065,0.3472634804152272,112,158,114,119,148,117
2002-04-30,1109,776,774,2033305749.64,3304950000.0,0.20265253576386724,0.33158900095451616,114,154,119,118,156,113
2002-05-31,1104,773,766,2134011178.5,3485780124.3250003,0.19580751387047415,0.32149382576139884,119,150,114,111,156,116
2002-06-30,1095,766,761,1938285500.0000002,3128441500.2,0.21527667968426506,0.35351875728669846,114,158,109,115,145,120
2002-07-31,1099,769,764,2140644000.708,3498504153.66,0.19644098824589723,0.3096852374771701,115,157,110,114,149,119
2002-08-31,1108,775,771,2047997794.3999999,3350000000.0,0.20199406472085688,0.32636430568768976,119,166,101,113,141,131
2002-09-30,1113,779,775,2073550375.2799997,3376000000.0,0.20600566464133988,0.3333732727878066,120,163,105,113,146,128
2002-10-31,1122,785,781,1934317517.83,3170314720.0,0.21669682234996204,0.3536354278327526,120,165,106,115,146,129
2002-11-30,1126,788,784,1819715400.0,3005254842.51,0.2309681939381483,0.3843259121901825,120,166,106,115,148,129
2002-12-31,1134,794,792,1643404760.0,2787274701.2,0.25028045704677876,0.41138259193999555,114,166,116,124,150,122
2003-01-31,1142,799,797,1552808199.6000001,2635225000.0,0.2611593094556102,0.43468503784375656,110,168,121,129,151,118
2003-02-28,1153,807,803,1721313600.0,2840500000.0,0.2417925094116934,0.3966003517318035,117,176,109,124,145,132
2003-03-31,1158,810,806,1757839345.0089998,2891264519.64,0.23915798871307287,0.39105107893259583,119,175,109,123,147,133
2003-04-30,1166,816,813,1689829799.79,2844072000.0,0.24009936528581313,0.3938438797720458,118,168,121,126,157,123
2003-05-31,1170,819,816,1559190279.5519998,2732336542.7799997,0.25284220932937196,0.4051426637044563,110,175,123,135,151,122
2003-06-30,1167,817,815,1628242324.032,2821714560.0,0.23954544317955725,0.3891921950042488,105,172,131,140,153,114
2003-07-31,1171,819,816,1518300000.0,2620223183.3199997,0.2563727678468463,0.41952439675143643,106,170,132,139,156,113
2003-08-31,1180,826,822,1438285511.136,2522704965.25,0.263308200078607,0.43588040029479785,108,168,135,139,160,112
2003-09-30,1186,830,825,1404876921.3600001,2471560000.0,0.272605485902174,0.4554702708739876,108,167,138,140,162,110
2003-10-31,1191,833,830,1344036084.3,2358371000.0,0.2849963755822859,0.47435861498117493,102,176,137,147,156,112
2003-11-30,1197,838,834,1214233528.0800002,2203547810.8199997,0.3124597651631561,0.507718853921423,112,160,145,138,174,105
2003-12-31,1202,841,838,1221967422.795,2265741362.5600004,0.3054396572853565,0.48778376454690253,108,164,147,144,170,105
2004-01-31,1209,846,844,1183129712.7599998,2227155579.125,0.3002963883388385,0.491462206058321,99,171,152,154,167,101
2004-02-29,1219,853,851,1278209353.24,2433111428.16,0.2809734543399957,0.45604263206523155,107,168,151,149,171,105
2004-03-31,1226,858,855,1404698641.5099998,2643432000.0,0.25702753177852294,0.42249431461238157,105,168,155,152,173,102
2004-04-30,1230,861,858,1475041742.112,2747986625.0,0.24941261638394815,0.40509779499091625,112,165,152,146,177,106
2004-05-31,1227,859,855,1331631162.368,2510893551.96,0.28182796817047684,0.4520991388807498,119,161,148,138,180,109
2004-06-30,1224,857,853,1313087059.1999998,2472402400.0,0.2905651324831888,0.46661669962078267,116,160,151,140,181,105
2004-07-31,1229,860,856,1125635433.36,2132058120.1999998,0.33142543755514,0.5331305110109152,116,160,152,141,182,105
2004-08-31,1234,864,860,1063400406.414,2149825500.0,0.3281721064507319,0.5421701362582925,104,171,155,154,173,103
2004-09-30,1240,868,864,1015950537.326,1990325830.3899999,0.35467729488029925,0.5664135325753108,103,170,159,156,176,100
2004-10-31,1246,872,868,1079040580.0,2125148955.405,0.33053456222140626,0.5368384868837462,104,172,158,157,174,103
2004-11-30,1260,882,878,987774007.5,1943341650.0,0.3522151426643626,0.5782377788916182,102,179,158,162,171,106
2004-12-31,1273,891,887,1029049671.006,2011937787.7700002,0.3398589920300214,0.5642948062679959,111,180,153,155,175,113
2005-01-31,1298,908,904,938429999.9999999,1813166000.0,0.3807551361437491,0.6150715112956291,102,192,158,169,170,113
2005-02-28,1321,924,920,865382002.5600001,1655577869.6,0.39821388321949724,0.6580707110446697,107,196,157,169,172,119
2005-03-31,1330,931,928,947666000.0,1843896876.0,0.3608390939522226,0.5994616403339231,116,189,159,163,181,120
2005-04-30,1338,936,933,807335000.0,1622542462.4,0.4218920760390602,0.6860939420886334,108,191,168,172,182,112
2005-05-31,1338,936,933,715533200.5069999,1532700000.0,0.45152942574214283,0.7576278935142662,96,195,176,184,178,104
2005-06-30,1318,922,919,714150000.0,1464767359.9999998,0.48439029792348715,0.7794739696343882,109,191,160,167,176,116
2005-07-31,1286,900,897,699520000.0,1428898800.0,0.4917148818710361,0.8005352867365457,102,188,159,167,171,110
2005-08-31,1301,910,907,630070539.84,1326211510.0000002,0.504274270343551,0.8581273016957882,93,185,176,179,178,96
2005-09-30,1302,911,906,750528040.0,1489670000.0,0.4519421370380152,0.749680177564926,101,193,159,171,169,113
2005-10-31,1263,884,879,756408000.0,1553478873.3200002,0.44401091608493026,0.742824097596687,91,184,165,173,167,99
2005-11-30,1199,839,834,682104504.612,1410026535.8600001,0.4881569190175414,0.8117406165964197,86,171,160,164,163,90
2005-12-31,1176,823,819,694790000.0,1392930000.0,0.49075075797236795,0.8032895526989449,104,165,141,142,162,105
2006-01-31,1162,813,810,676439243.8560001,1389227600.0,0.49211481215522834,0.8116931654008155,94,169,142,149,155,101
2006-02-28,1130,791,787,723468354.032,1534038770.78,0.446285134943302,0.7557998711248104,92,160,142,144,155,94
2006-03-31,1125,787,784,732061043.492,1471516592.15,0.44625913591155186,0.7300223075745393,92,161,139,143,153,96
2006-04-30,1056,739,735,707510162.5949999,1431555136.32,0.45002701510185705,0.762086580446929,83,152,133,138,141,88
2006-05-31,1049,734,730,721389964.2,1579756347.02,0.41241909245045255,0.7180289676420339,76,157,132,143,135,87
2006-06-30,1035,724,721,945054687.096,2009811985.9199996,0.3507858614459533,0.5876992420190814,85,150,126,132,137,91
2006-07-31,1086,760,758,1005932951.3400002,2159949092.0,0.3236206522719352,0.5681530667074708,83,161,135,145,141,93
2006-08-31,1111,777,773,971465802.0,2087323513.0500002,0.3446154995648717,0.6092879983534317,92,154,141,140,155,91
2006-09-30,1189,832,826,974192371.2,2074943131.2,0.3357538866611764,0.6174038321348594,100,168,145,148,162,103
2006-10-31,1227,859,853,1014163000.248,2163000000.0,0.3106491122543926,0.577797378521218,102,183,142,154,158,114
2006-11-30,1229,860,854,979757999.9999999,2124706859.73,0.32586818732721623,0.59160677531691,97,187,143,159,155,113
2006-12-31,1238,866,860,994038721.967,2301958909.4800005,0.2956332832746427,0.5654506759665934,89,187,154,169,157,104
2007-01-31,1207,845,840,1013010309.1520001,2419182200.0,0.2848435524063096,0.5403290528875837,77,179,164,175,157,88
2007-02-28,1213,849,845,1327843132.0,2988415000.0,0.23212602404653074,0.43483844852719633,78,182,163,176,155,91
2007-03-31,1250,875,872,1577726000.0,3470316093.575,0.20503790717642129,0.37053363220748403,91,185,160,171,163,102
2007-04-30,1260,882,878,1909047075.04,3958227885.25,0.18676452361417245,0.31832660012209113,103,184,152,161,166,112
2007-05-31,1280,896,887,2545340574.25,5471341200.0,0.14771589549567066,0.24284935079770742,111,185,148,155,170,118
2007-06-30,1250,875,866,2734426580.6,6043943994.48,0.13087301083701566,0.22761475406550846,99,185,149,161,161,111
2007-07-31,1285,899,893,2085660444.456,5025195000.0,0.14857127236831483,0.27163966661480027,91,184,172,177,173,96
2007-08-31,1306,914,908,2648392297.0249996,6144781754.23,0.12349793640605326,0.21831555543944456,92,189,173,181,173,100
2007-09-30,1291,903,892,2858451610.7799997,6783531000.0,0.11695375313877313,0.20186564024809037,88,191,167,180,165,101
2007-10-31,1306,914,905,2921568446.09,6964320000.0,0.106914000953299,0.19480589524662967,94,183,176,178,178,96
2007-11-30,1306,914,906,2555303000.0,6202819407.81,0.126086920115958,0.22881693884577187,89,182,182,183,180,90
2007-12-31,1317,922,914,2464848632.036,5814105488.38,0.14056820272392861,0.25143679109458494,97,185,175,177,181,99
2008-01-31,1312,918,911,2942655694.0460005,7074468238.940001,0.11542633319775596,0.2050701951086638,104,181,171,170,182,103
2008-02-29,1328,929,919,2785335234.602,6669625540.379999,0.12697486467606922,0.2214167157432608,111,178,171,165,189,105
2008-03-31,1349,944,936,3074677202.88,7128223851.33,0.12357884364405823,0.2079488302705348,113,193,162,168,181,119
2008-04-30,1363,954,945,2457358301.73,5663182500.0,0.15972722207430567,0.2735740906348572,126,189,158,158,188,126
2008-05-31,1365,955,947,2244239772.216,5404773744.0,0.17217428932345963,0.2963624216138081,122,181,171,162,198,113
2008-06-30,1363,954,948,2234144880.0,5354803146.87,0.18050944232586275,0.31096950502976606,127,181,166,158,197,119
2008-07-31,1396,977,970,1608196513.16,3993793354.375,0.23522955302993434,0.4157995556376026,121,194,170,170,194,121
2008-08-31,1429,1000,991,1768492464.6239998,4265916942.5,0.21752475572559996,0.385096358043745,136,189,171,162,206,127
2008-09-30,1449,1014,1006,1320098080.0,3205414683.5,0.29091986534384096,0.5126500367422777,136,192,175,166,210,127
2008-10-31,1455,1018,1010,1203086477.632,2935037128.0,0.3148323817680296,0.5564215614792846,130,188,187,173,216,116
2008-11-30,1461,1022,1014,874042822.4,2103403177.6,0.4561398456428713,0.7800360460327501,126,192,189,178,214,115
2008-12-31,1479,1035,1026,1050138016.346,2513833759.04,0.3858916726295613,0.6587478306015104,136,196,181,172,214,127
